evidence_id,source,domain,url,title,observed_evidence,classified_model,functional_clarity_1_5,minimalism_1_5,mobile_1_5,reduced_motion_1_5,cms_resilience_1_5,motion_cost_1_5,smyc_fit_1_5,verdict,evidence_confidence,decision_rationale,access_limitation,cohort
102,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-499/,Weekly Designers Update #499 | Muzli Blog,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #499 | 🔥 Must-See Design Picks | Basement Studio — A Virtual Space with Real-World Attitude | Navigate — Engaging Illustrations and Subtle Scroll Animations",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
103,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-501/,Weekly Designers Update #501 | Muzli Blog,"메타: Weekly inspiration featuring futuristic portfolios, smart tools, and creative design twists. / 관찰 소제목: Weekly Designers Update #501 | 🔥 Must-See Design Picks | UI8 Studio | Kode Immersive",layered-stack,3,2,2,3,3,4,2,검토,3/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
104,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-502/,Weekly Designers Update #502 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #502 | 🔥 Must-See Design Picks | Valentime: A Cinematic Scroll Journey with Immersive 3D Design | Aurelien Vigne: A Playable Portfolio in a 3D Theater World",layered-stack,3,2,2,3,3,4,2,검토,3/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
105,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-508/,Weekly Designers Update #508 | Muzli Blog,"메타: A weekly roundup of standout web design, bold experiments, fresh tools, and what the design world is buzzing about right now. / 관찰 소제목: Weekly Designers Update #508 | 🔥 Must-See Design Pick | Montfort — Corporate Showcase | Karim Saab — Portfolio",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
106,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-510/,Weekly Designers Update #510 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #510 | 🔥 Must-See Design Picks | Teh Tarik Nation — 80 Years of Tradition in Every Sip | Studio Herrström — Creative Studio",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
107,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-511/,Weekly Designers Update #511 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #511 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | Naya Studio — Floral Design Studio",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
108,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-513/,Weekly Designers Update #513 | Muzli Blog,"메타: Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. / 관찰 소제목: Weekly Designers Update #513 | 🏆 Muzli Community Uploads | Tore S. Bentsen — Portfolio | SWANK — Creative Design Concept",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
109,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-514/,Weekly Designers Update #514 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #514 | 🏆 Muzli Community Uploads | DODD // Website | 🔥 Must-See Design Picks",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
110,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-519/,Weekly Designers Update #519 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #519 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Geex | UI/UX Design, Branding & Developmen",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
111,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-520/,Weekly Designers Update #520 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #520 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Hover Exploration №002",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
112,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-526/,Weekly Designers Update #526 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends, and plenty more to explore. / 관찰 소제목: Weekly Designers Update #526 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Iventions",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
113,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-529/,Weekly Designers Update #529 | Muzli Blog,"메타: A curated roundup of cutting-edge design projects, tools, and trends, your weekly creative boost from Muzli. / 관찰 소제목: Weekly Designers Update #529 | 🏆 Muzli Community Uploads | Nas Illmatic | Design Trends 2026: Where AI Meets Emotion",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
114,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-533/,Weekly Designers Update #533 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #533 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🏆 Muzli Community Uploads | Amaterasu",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
115,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-534/,Weekly Designers Update #534 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #534 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | NYC Music OS",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
116,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-535/,Weekly Designers Update #535 | Muzli Blog,"메타: Weekly inspiration packed with bold portfolios, smart tools, creative trends – and plenty more to explore. / 관찰 소제목: Weekly Designers Update #535 | 🔥 Must-See Design Picks | The Pendragon Cycle — Rise of the Merlin | Google Santa Tracker",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
117,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-541/,Weekly Designers Update #541 | Muzli Blog,"메타: Weekly inspiration featuring futuristic portfolios, smart tools, and creative design twists. / 관찰 소제목: Weekly Designers Update #541 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | Jason Bergh",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
118,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-543/,Weekly Designers Update #543 | Muzli Blog,"메타: Muzli Weekly: The cutting edge of design, from viral portfolios to the next generation of AI-powered tools. Discover the projects and products shaping... / 관찰 소제목: Weekly Designers Update #543 | Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. | 🔥 Must-See Design Picks | SuperSkills",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
119,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-547/,Weekly Designers Update #547 | Muzli Blog,"메타: Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. / 관찰 소제목: Weekly Designers Update #547 | 🔥 Must-See Design Picks | Inertia Studios | Arnaud Rocca — Portfolio",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
120,muz.li,muz.li,https://muz.li/blog/weekly-designers-update-562/,Weekly Designers Update #562 | Muzli Blog,"메타: Your weekly dose of design inspiration, featuring the hottest projects, must-have tools, and game-changing products. / 관찰 소제목: Weekly Designers Update #562 | 🔥 Must-See Design Picks | Noomo Showcase — Immersive 3D & WebGL Work | VERO",layered-stack,3,2,2,3,3,4,2,검토,4/5,"3d, webgl, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
121,onepagelove.com,onepagelove.com,https://onepagelove.com/allagi,Allagi — One Page Website Award,"메타: Beautifully minimal catalog browsing experience in this One Pager for artist Allagi. / 관찰 소제목: Allagi | Similar One Page Websites | Framer - Build better sites, faster | The Deep End",center-only,5,5,4,5,5,1,5,검토,5/5,"minimal, 미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
122,onepagelove.com,onepagelove.com,https://onepagelove.com/alterg-resources,AlterG Resources — One Page Website Award,"메타: Lovely logomark integration (using a masked blur effect) in the hero of this landing page (built with Webflow) for AlterG Resources. / 관찰 소제목: AlterG Resources | Similar One Page Websites | Framer - Build better sites, faster | Architecture of Socialist-Era Belgrade",partial-visible,4,4,4,3,5,1,4,검토,5/5,"mask, 가림, 개구부, architect, 건축",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
123,onepagelove.com,onepagelove.com,https://onepagelove.com/anatolii-grashchenko,Anatolii Grashchenko — One Page Website Award,"메타: Unique personal One Pager for creative technologist Anatolii Grashchenko, featuring a 3D scan of him working and live vitals streamed from his smartwatch. / 관찰 소제목: Anatolii Grashchenko | Similar One Page Websites | Framer - Build better sites, faster | Sky Clock",partial-visible,4,4,4,3,5,2,4,검토,4/5,"가림, 깊이, 공간",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
124,onepagelove.com,onepagelove.com,https://onepagelove.com/belgrade-architecture,Architecture of Socialist-Era Belgrade — One Page Website Award,"메타: Storytelling One Pager (built with Webflow) paying homage to the Architecture of Socialist-Era Belgrade. / 관찰 소제목: Architecture of Socialist-Era Belgrade | Similar One Page Websites | Framer - Build better sites, faster | Neuropelvic Surgery",partial-visible,4,4,4,3,5,1,4,검토,5/5,"가림, 개구부, architect, 건축",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
125,onepagelove.com,onepagelove.com,https://onepagelove.com/atishay-tuli,Atishay Tuli — One Page Website Award,"메타: What a joyful experience having a minimal/creative mode switcher in this One Pager (built with Framer) for Atishay Tuli. Fun! / 관찰 소제목: Atishay Tuli | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,5/5,"minimal, 미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
126,onepagelove.com,onepagelove.com,https://onepagelove.com/belen-jones,Belen Jones — One Page Website Award,"메타: Unique, brutalist One Pager for Belen Jones – featuring a 3D cube rotating projects. / 관찰 소제목: Belen Jones | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",partial-visible,4,4,4,3,5,2,4,검토,4/5,"가림, 깊이, 공간",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
127,onepagelove.com,onepagelove.com,https://onepagelove.com/digital-original-xr,Digital Original XR — One Page Website Award,"메타: Incredibly impressive meta quest demo that activates as you scroll this One Pager for Digital Original XR. The app experience lets users view art in virtual and mixed reality, brow / 관찰 소제목: Digital Original XR | Similar One Page Websites | Framer - Build better sites, faster | Housemait",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
128,onepagelove.com,onepagelove.com,https://onepagelove.com/experience-lab,Experience.Lab — One Page Website Award,"메타: Motion-led One Pager (built with Framer) for Experience.Lab – Publicis Groupe Japan’s hub delivering solutions across APAC. Really love how they integrated the team members on hove / 관찰 소제목: Experience.Lab | Similar One Page Websites | Framer - Build better sites, faster | Mainline Next.js Next.js Template built with Tailwind CSS",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
129,onepagelove.com,onepagelove.com,https://onepagelove.com/flex-digital,Flex Digital — One Page Website Award,"메타: Good breathing room in this One Page portfolio for Flex Digital. / 관찰 소제목: Flex Digital | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
130,onepagelove.com,onepagelove.com,https://onepagelove.com/fourmula,Fourmula — One Page Website Award,"메타: One Pager (built with Webflow) for an AI product generator tool called Fourmula. Always a fan of an interactive onboarding before scrolling, well played. / 관찰 소제목: Fourmula | Similar One Page Websites | Framer - Build better sites, faster | Housemait",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
131,onepagelove.com,onepagelove.com,https://onepagelove.com/frontend-supply,Frontend Supply™ — One Page Website Award,"메타: Neat One Page portfolio for Frontend Supply, a frontend-subscription service for startups, led by Doğukan. / 관찰 소제목: Frontend Supply™ | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
132,onepagelove.com,onepagelove.com,https://onepagelove.com/george-wood,George Wood — One Page Website Award,"메타: Minimal One Pager for George Wood – an interface and product designer based in Nottingham. You can customise the entire site using the settings panel and George even added a little / 관찰 소제목: George Wood | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,5/5,"minimal, 미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
133,onepagelove.com,onepagelove.com,https://onepagelove.com/glyphs-grids,Glyphs & Grids — One Page Website Award,"메타: Playful inline icon animations bring charm to the storytelling in this launching soon page for Glyphs & Grids, a macOS font manager. / 관찰 소제목: Glyphs & Grids | Similar One Page Websites | Framer - Build better sites, faster | Housemait",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
134,onepagelove.com,onepagelove.com,https://onepagelove.com/hebbia,Hebbia — One Page Website Award,"메타: Unique elements and creative ideas throughout this One Page portfolio for Hebbia Design Studio. / 관찰 소제목: Hebbia | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
135,onepagelove.com,onepagelove.com,https://onepagelove.com/housemait,Housemait — One Page Website Award,"메타: Long-scrolling Landing Page for Housemait, an app to help family calendars, meals, shopping and chores, with an AI assistant accessible through WhatsApp. / 관찰 소제목: Housemait | Similar One Page Websites | Framer - Build better sites, faster | Triple Kingdom",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
136,onepagelove.com,onepagelove.com,https://onepagelove.com/johny-vino,Johny Vino — One Page Website Award,"메타: Slick One Page portfolio for Johny Vino, showcasing his product and UX/UI design work within horizontal sliders. / 관찰 소제목: Johny Vino | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, slide",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
137,onepagelove.com,onepagelove.com,https://onepagelove.com/landmark,Landmark — One Page Website Award,"메타: Smart One Pager (built using WordPress) for Landmark, showcasing their real estate services and property portfolio. Big domain this (alre.com) – Landmark is the operating brand of  / 관찰 소제목: Landmark | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
138,onepagelove.com,onepagelove.com,https://onepagelove.com/lovably,Lovably — One Page Website Award,"메타: Wonderful minimal direction in this One Pager (built with Webflow) for Lovably, a New York brand strategy and design studio celebrating 12 years in business. / 관찰 소제목: Lovably | Similar One Page Websites | Framer - Build better sites, faster | Mainline Next.js Next.js Template built with Tailwind CSS",center-only,5,5,4,5,5,1,5,검토,5/5,"minimal, 미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
139,onepagelove.com,onepagelove.com,https://onepagelove.com/marina-rachello,Marina Rachello — One Page Website Award,"메타: Vibrant, bold type throughout this One Page portfolio for visual designer, Marina Rachello. / 관찰 소제목: Marina Rachello | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
140,onepagelove.com,onepagelove.com,https://onepagelove.com/materials,Materials¹ — One Page Website Award,"메타: Gorgeous morph of the hero object as you scroll this One Pager promoting the Materials¹ abstract design pack. / 관찰 소제목: Materials¹ | Similar One Page Websites | Framer - Build better sites, faster | Housemait",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
141,onepagelove.com,onepagelove.com,https://onepagelove.com/matthew-chudnovski,Matthew Chudnovski — One Page Website Award,"메타: Fun touch with the audio commentary function, within this One Page portfolio for marketing and creative director, Matthew Chudnovski. Also note how he loads up projects (via footer / 관찰 소제목: Matthew Chudnovski | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",center-only,5,5,4,5,5,1,5,검토,4/5,"미니멀, 에디토리얼, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
142,onepagelove.com,onepagelove.com,https://onepagelove.com/michael-pumo,Michael Pumo — One Page Website Award,"메타: One Page portfolio (built using Storyblok CMS) for London-based freelance web designer and frontend developer, Michael Pumo. / 관찰 소제목: Michael Pumo | Similar One Page Websites | Framer - Build better sites, faster | SimpleSketche",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
143,onepagelove.com,onepagelove.com,https://onepagelove.com/monolog,Monolog — One Page Website Award,"메타: Brilliant attention to detail and obvious care woven throughout this One Page portfolio (built with Webflow) for Monolog, the studio led by Huy “By Huy” Nguyen. / 관찰 소제목: Monolog | Similar One Page Websites | Framer - Build better sites, faster | Mainline Next.js Next.js Template built with Tailwind CSS",partial-visible,4,5,4,3,5,1,5,검토,3/5,레이어,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
144,onepagelove.com,onepagelove.com,https://onepagelove.com/neuropelvic-surgery,Neuropelvic Surgery — One Page Website Award,"메타: Informational One Pager about Neuropelvic Surgery that provides pelvic health treatments and surgical solutions for women. / 관찰 소제목: Neuropelvic Surgery | Similar One Page Websites | Framer - Build better sites, faster | Architecture of Socialist-Era Belgrade",partial-visible,4,4,4,3,5,1,4,검토,5/5,"가림, 개구부, architect, 건축",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
145,onepagelove.com,onepagelove.com,https://onepagelove.com/og-generator,OG Image Generator - One Page Love,"메타: Paste a URL — get three designer-grade Open Graph cards in seconds. Edit any field and download the result as a JPG, ready for your <head>. / 관찰 소제목: OG Image Generator | Try a recent One Pager | ' + e.label + ' ' + e.sel + '",layered-stack,4,3,2,3,3,4,3,검토,2/5,cards,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
146,onepagelove.com,onepagelove.com,https://onepagelove.com/pattern-breaking,Pattern Breaking — One Page Website Award,"메타: Storytelling One Pager for Pattern Breaking – an experimental project exposing manipulative tactics used by fast fashion websites to pressure customers into unnecessary purchases.  / 관찰 소제목: Pattern Breaking | Similar One Page Websites | Framer - Build better sites, faster | Shopify Editions – Spring 2026",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
147,onepagelove.com,onepagelove.com,https://onepagelove.com/rcl,Right-Click Logo — One Page Website Award,"메타: One Pager with a ready-to-use prompt for adding a right-click brand menu to your website logo. The interactive demo includes a real-time menu builder, so you can also preview and c / 관찰 소제목: Right-Click Logo | Similar One Page Websites | Framer - Build better sites, faster | Housemait",partial-visible,4,4,4,3,5,1,4,검토,5/5,"가림, 개구부, 건축",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
148,onepagelove.com,onepagelove.com,https://onepagelove.com/sarah-matt-wedding,Sarah & Matt Wedding — One Page Website Award,"메타: Beautifully crafted One Pager sharing details about the wedding celebration of Sarah & Matt, taking place at Excelsior in Lancaster, Pennsylvania. The interactive hero, 3D invitati / 관찰 소제목: Sarah & Matt Wedding | Similar One Page Websites | Framer - Build better sites, faster | Rendez-vous Francéclat",layered-stack,3,3,2,3,3,4,3,검토,3/5,3d,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
149,onepagelove.com,onepagelove.com,https://onepagelove.com/simplesketche,SimpleSketche — One Page Website Award,"메타: An incredible 3D cube portfolio showcasing SimpleSketche, the 3D design services of Yankun Yang. / 관찰 소제목: SimpleSketche | Similar One Page Websites | Framer - Build better sites, faster | Marina Rachello",layered-stack,3,3,2,3,3,4,3,검토,3/5,3d,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
150,onepagelove.com,onepagelove.com,https://onepagelove.com/invoicemon,invoicemon — One Page Website Award,"메타: Brilliant scroll-to-demo interactive experience in this One Pager for invoicemon, a free browser-based invoice generator. ps. Mighil was kind enough to give OPL readers a 50% disco / 관찰 소제목: invoicemon | Similar One Page Websites | Framer - Build better sites, faster | Billow",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
151,onepagelove.com,onepagelove.com,https://onepagelove.com/ma,鳥獣戯間 — One Page Website Award,"메타: Experimental, case-study One Pager on “Ma” (間) — the Japanese concept of negative space. The Site Page site explores how a story can unfold in emptiness, using Chōjū-giga (the 12th / 관찰 소제목: 鳥獣戯間 | Similar One Page Websites | Framer - Build better sites, faster | History of Software Design",hidden-offstage,3,4,2,3,3,3,4,검토,3/5,"전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
152,tympanus.net,tympanus.net,https://tympanus.net/codrops/2023/12/01/creating-a-3d-perspective-carousel-with-css/,creating-a-3d-perspective-carousel-with-css,메타: 설명 없음,layered-stack,4,3,2,3,3,4,3,검토,4/5,"3d, perspective, carousel",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
153,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/21-hrs-on-the-moon,21 Hrs On The Moon - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
154,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/2xa-studio,2xA Studio - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
155,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/apoha,Apoha - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
156,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/brunello-cucinelli-ai-e-com,Brunello Cucinelli - AI E-com - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
157,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/bucks-sauce,Bucks Sauce - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
158,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/catalyst-behavioral,Catalyst Behavioral - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
159,Awwwards,www.awwwards.com,https://www.awwwards.com/sites/coffeetech-r,CoffeeTech® - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,excluded,1,1,2,3,3,3,1,배제,낮음,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,title·meta·공개 본문 관찰 기준,sources-a
