"source","url","title","published","observed_evidence","pattern","adopt_or_reject"
"Codrops","https://tympanus.net/codrops/2024/01/27/inspirational-websites-roundup-55/","Inspirational Websites Roundup #55","2024-01-27","Check out our first batch of exceptionally good website designs in 2024.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/02/13/web-design-resources/","15 Best Web Design Resources & Tools for 2024 (Free & Premium)","2024-02-13","Discover the best free &#038; premium web design tools and resources to use in 2024, including Brizy, Trafft, Get Illustrations, and more.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/03/21/case-study-design-embraced-portfolio-2024/","Case Study: Design Embraced Portfolio – 2024","2024-03-21","A look behind the code and collaboration of the new portfolio for Anthony Goodwin at Design Embraced.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/03/22/ui-interactions-animations-roundup-41/","UI Interactions &#038; Animations Roundup #41","2024-03-22","Discover a new collection of user interface animations and interactive designs to spark your creativity.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/04/08/case-study-84-24/","Case Study: 84—24","2024-04-08","A look into the making of 84—24. The tale of restoring an ’80s timeless classic.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/04/24/case-study-gabriel-contassots-portfolio-2024/","Case Study: Gabriel Contassot’s Portfolio — 2024","2024-04-24","A look into the making of Gabriel’s 2024 portfolio website, complementing minimal design choices with subtle animations.","모션 / 건축·에디토리얼","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/05/13/design-finds-creative-slideshows/","Design Finds: Creative Slideshows","2024-05-13","A small collection of creative slideshow designs and animations.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/06/04/case-study-oscar-pico-portfolio-2024/","Case Study: Oscar Pico Portfolio — 2024","2024-06-04","An exploration of the collaborative creative process between Oscar Pico and Nam Hai during the design and development phases.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/06/06/ui-interactions-animations-roundup-44/","UI Interactions &#038; Animations Roundup #44","2024-06-06","Check out our latest motion design collection, featuring the best selections from Dribbble to spark your creativity.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/07/03/ui-interactions-animations-roundup-45/","UI Interactions &#038; Animations Roundup #45","2024-07-03","A fresh selection of motion design and animation inspiration from Dribbble.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/07/23/on-ne-change-pas-the-creative-work-process-behind-a-stunning-ui-animation/","On Ne Change Pas: The Creative Work Process Behind a Stunning UI Animation","2024-07-23","In this article, we take you behind the scenes to explore the creation process of an intriguing animation.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/07/26/case-study-rogier-de-boeve-portfolio-2024/","Case Study: Rogier de Boevé Portfolio — 2024","2024-07-26","Insights into the creative process and technical details behind the portfolio of Rogier de Boevé, a Belgium-based creative developer and digital designer.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/08/20/server-first-web-components-with-dsd-htmx-and-islands/","Server-first Web Components with DSD, HTMX, and Islands","2024-08-20","A simple yet powerful approach to Web Component server-rendering, declarative behaviors, and JavaScript islands.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/08/29/case-study-armur-alexandra-murgu-portfolio/","Case Study: Armur—Alexandra Murgu Portfolio","2024-08-29","Behind the scenes of one of Artemii Lebedev’s projects: Armur, a portfolio website for the film industry, created for Alexandra Murgu.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/09/16/designer-spotlight-andrea-jelic/","Designer Spotlight: Andrea Jelić","2024-09-16","In this Designer Spotlight, we feature Andrea Jelić, an award-winning web designer and art director from Croatia, as she shares insights into her creative process and showcases her standout web and branding projects.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/09/25/habit-hustle-the-creative-process-behind-a-ui-animation/","Habit Hustle: The Creative Process Behind a UI Animation","2024-09-25","In this article, we take you behind the scenes to explore the creation process of an intriguing animation inspired by gemstone visuals.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/10/15/a-visual-deconstruction-of-the-paffi-totem-slider/","A Visual Deconstruction of the Paffi Totem Slider","2024-10-15","An in-depth look at the design of the Paffi Totem Slider, exploring how soft gradients, subtle lighting, and playful motion work together to create a unique and dynamic look.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/10/17/case-study-dutens-2024-website/","Case Study: Duten’s 2024 Website","2024-10-17","Explore the dynamic collaboration between designer Sébastien Salord and the talented team at Incredibles Development Studio as they join forces to take Duten’s digital presence to the next level.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/10/21/getting-started-with-piecesjs-building-native-web-components-with-a-lightweight-framework/","Getting Started with Piecesjs: Building Native Web Components with a Lightweight Framework","2024-10-21","Piecesjs is a lightweight JavaScript framework built upon native web components, offering a suite of tools and utilities tailored for creative websites.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/10/22/case-study-monolith-studio/","Case Study: Monolith Studio","2024-10-22","Go behind the scenes of Monolith Studio’s bold website, created in collaboration with Artemii Lebedev, Okan Uckun, and Oscar Akermo, to discover how they brought a modern Brooklyn tattoo studio to life online.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/10/25/designer-spotlight-maria-rakovic/","Designer Spotlight: Maria Rakovic","2024-10-25","Explore the creative journey of Maria Rakovic, an architect-turned-web designer, blending architectural precision with digital artistry in web design and branding.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/10/28/ui-interactions-animations-roundup-47/","UI Interactions & Animations Roundup #47","2024-10-28","A set of interesting and inspiring animations and motion design concepts from the past couple of weeks.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2024/10/31/how-to-code-a-subtle-shader-background-effect-with-react-three-fiber/","How to Code a Subtle Shader Background Effect with React Three Fiber","2024-10-31","Learn how to create an interactive shader background effect using React Three Fiber and Drei in four simple steps.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/11/15/developing-moxey-a-behind-the-scenes-look-at-the-process/","Developing Moxey: A Behind-the-Scenes Look at the Process","2024-11-15","In this article, we take you behind the scenes to explore the creative development process of the website for Moxey.no, a film production company based in Stavanger, Norway.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/11/19/case-study-chaingpt-labs/","Case Study: ChainGPT Labs","2024-11-19","A look behind the ChainGPT Labs, ChainGPT’s new venture capital and incubator for the next generation of web3 startups. Designed by Sigma Software Design team, and compiled into an insight-packed case study by Sigma’s designer, Ilya Kostin.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/11/25/10-best-2024-black-friday-deals-for-designers-and-agencies/","10 Best 2024 Black Friday Deals for Designers and Agencies","2024-11-25","Don’t miss your chance to save big with any of 2024’s Top 10 Black Friday Deals for Designers and Agencies. These exclusive offers are available for a limited time only!","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/12/06/designer-spotlight-andrea-binski/","Designer Spotlight: Andrea Binski","2024-12-06","Meet Andrea Binski, co-founder and art director of UNIKO™, an award-winning design studio specializing in innovative branding and web design.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2024/12/19/crafting-a-dreamy-particle-effect-with-three-js-and-gpgpu/","Crafting a Dreamy Particle Effect with Three.js and GPGPU","2024-12-19","Learn how to create an interactive particle effect using Three.js, GPGPU, and shaders.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/01/06/best-wordpress-themes-2025/","5+ Best WordPress Themes for 2025","2025-01-06","Discover the top WordPress themes for 2025, crafted for developers and designers seeking performance, flexibility, and next-level design innovation.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/07/case-study-dondre-green/","Case Study: Dondre Green","2025-01-07","This case study explores how The Blackpepper Studio meticulously designed and developed a digital portfolio that captures the artistic vision of Dondre Green, a New York-based Art Director and Photographer known for his innovative, narrative-driven, and storytelling work.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/10/developer-spotlight-lorenzo-dossi/","Developer Spotlight: Lorenzo Dossi","2025-01-10","Meet Lorenzo Dossi, a motion designer and front-end developer shaping the web with creativity and precision in our first-ever Developer Spotlight.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/01/13/top-wordpress-plugins-2025/","10 Top Free & Premium WordPress Plugins for 2025","2025-01-13","A roundup of the best WordPress plugins for 2025 to help you build better sites, add smarter features, and keep things running smoothly.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/14/tracking-creativity-inside-the-making-of-sixelf/","Tracking Creativity: Inside the Making of Sixelf","2025-01-14","Exploring the imaginative process and innovative details behind Sixelf, a platform empowering designers to showcase their contributions and visualize their creative impact.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/15/creating-generative-artwork-with-three-js/","Creating Generative Artwork with Three.js","2025-01-15","Develop a dynamic, generative artwork using Three.js and grid systems, inspired by Lygia Clark’s minimalist geometric designs.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/01/16/case-study-gentle-rain/","Case Study: Gentle Rain","2025-01-16","This case study explores how retro aesthetics and modern innovation came together to create a unique and inspiring learning experience.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/20/vfx-js-webgl-effects-made-easy/","VFX-JS: WebGL Effects Made Easy","2025-01-20","This article introduces VFX-JS, a JavaScript library designed to make creating WebGL-powered visual effects easy and accessible.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/01/24/developer-spotlight-mario-sanchez-maselli/","Developer Spotlight: Mario Sanchez Maselli","2025-01-24","Meet Mario, developer &#038; co-founder of Non-Linear Studio. Specializing in interactive design, animation, 3D, WebGL, &#038; creative development.","공간 깊이 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/01/27/fractals-to-forests-creating-realistic-3d-trees-with-three-js/","Fractals to Forests – Creating Realistic 3D Trees with Three.js","2025-01-27","Discover the algorithms behind EZ-Tree’s use of procedural generation and Three.js to create realistic 3D tree models.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/01/28/best-web-design-tools-2025/","10+ Best Web Design Tools & Resources For 2025 (Free & Paid)","2025-01-28","Discover the top web design tools and resources of 2025, tailored for creating innovative, secure, and visually stunning websites with ease.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/01/30/case-study-gianluca-gradogna-portfolio-25/","Case Study: Gianluca Gradogna — Portfolio ’25","2025-01-30","This case study unveils the journey of creating a personal portfolio, highlighting the creative collaboration between Gianluca Gradogna and Gabriel Norman in bringing the project to life.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/02/03/building-an-on-scroll-3d-circle-text-animation-with-three-js-and-shaders/","Building an On-Scroll 3D Circle Text Animation with Three.js and Shaders","2025-02-03","Learn how to create a circular text animation in 3D space using Three.js, shaders, and msdf-text-utils.","공간 깊이 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/02/13/designer-spotlight-jhosue-mesias/","Designer Spotlight: Jhosue Mesias","2025-02-13","Exploring the art of digital design with Jhosue Mesias—pushing boundaries, crafting experiences, and redefining creativity.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/02/18/rendering-the-simulation-theory-exploring-fractals-glsl-and-the-nature-of-reality/","Rendering the Simulation Theory: Exploring Fractals, GLSL, and the Nature of Reality","2025-02-18","An exploration of fractals, GLSL, and simulation theory, revealing their deep connections to art, mathematics, and the nature of reality.","마스크·레이어","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/02/21/designer-spotlight-ivan-gorbunov/","Designer Spotlight: Ivan Gorbunov","2025-02-21","Explore Ivan Gorbunov’s approach to minimalism, creativity, and functional design.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/02/24/100-days-of-web-experiments-a-designers-journey-into-the-unknown/","100 Days of Web Experiments: A Designer’s Journey into the Unknown","2025-02-24","A designer’s journey of creative exploration—100 days, 100 experiments, and the lessons learned along the way.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/02/25/from-concept-to-code-inside-the-creative-process-of-thomas-monavon-gregory-lalle/","From Concept to Code: Inside the Creative Process of Thomas Monavon & Grégory Lallé","2025-02-25","Discover the creative process of the French duo, Thomas Monavon (Designer) and Grégory Lallé (Creative developer).","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/02/28/designer-spotlight-isabel-moranta/","Designer Spotlight: Isabel Moranta","2025-02-28","Explore the conceptually rich and visually striking world of award-winning Creative and Design Director Isabel Moranta as she shares her journey, inspirations, and most compelling projects.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/03/css-meets-voxel-art-building-a-rendering-engine-with-stacked-grids/","CSS Meets Voxel Art: Building a Rendering Engine with Stacked Grids","2025-03-03","Learn how transforms, perspective, and stacked grids can create a fully addressable 3D space and push the boundaries of what’s possible with pure CSS.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/03/05/case-study-stefan-vitasovic-portfolio-2025/","Case Study: Stefan Vitasović Portfolio — 2025","2025-03-05","An article behind the process of Stefan’s 2025 creative dev portfolio — a minimalist design, dynamic visuals and shader effects.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/07/designer-spotlight-artem-shcherban/","Designer Spotlight: Artem Shcherban","2025-03-07","Award-winning designer Artem Shcherban shares his journey, design philosophy, and the creative principles behind his work.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/11/replicating-css-object-fit-in-webgl/","Replicating CSS Object-Fit in WebGL: Optimized Techniques for Image Scaling and Positioning","2025-03-11","Explore optimized methods to achieve responsive image scaling and positioning in WebGL, similar to the CSS object-fit: cover behavior.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/03/12/case-study-fiddle-digital-design-agency-the-new-us/","Case Study: Fiddle.Digital Design Agency — The New Us","2025-03-12","This case study tells the story of how a small rebranding idea sparked a revolution within the agency.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/17/case-study-motoyoshi-takamitsu/","Case Study: Motoyoshi Takamitsu","2025-03-17","An exploration of the design and development of photographer Motoyoshi Takamitsu’s portfolio website.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/19/stringtune-the-javascript-library-born-from-a-design-agencys-workflow/","StringTune: The JavaScript Library Born from a Design Agency’s Workflow","2025-03-19","Learn how to use this flexible JavaScript library for animations, smooth scrolling, and interactive effects.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/03/21/designer-spotlight-huy-phan/","Designer Spotlight: Huy Phan","2025-03-21","Award-winning designer Huy Phan shares his journey, creative philosophy, and the stories behind his most impactful digital experiences.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/22/motion-highlights-3/","Motion Highlights #3","2025-03-22","Fresh animation ideas and motion design trends to fuel your inspiration.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/03/24/animating-letters-with-shaders-interactive-text-effect-with-three-js-glsl/","Animating Letters with Shaders: Interactive Text Effect with Three.js & GLSL","2025-03-24","A beginner-friendly tutorial that explores how to create a dynamic text displacement effect using Three.js and custom shaders.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/03/25/stas-bondar-25-the-code-techniques-behind-a-next-level-portfolio/","Stas Bondar ’25: The Code & Techniques Behind a Next-Level Portfolio","2025-03-25","A look behind stabondar.com — a creative portfolio featuring advanced web animations with GSAP, Three.js, and physics-based effects.","공간 깊이 / 모션 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/03/26/design-in-motion-the-animation-principles-behind-green-stack/","Design in Motion: The Animation Principles Behind Green Stack","2025-03-26","A concept-to-site journey in Webflow, shaped by design, dev, and bold animation principles.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/03/27/developer-spotlight-jorge-toloza/","Developer Spotlight: Jorge Toloza","2025-03-27","From self-taught beginnings to crafting motion-driven, interactive experiences—this is a look at Jorge Toloza’s journey and the projects that shaped his approach to creative development.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/03/28/case-study-troa-25-folio/","Case Study: Troa 25&#8242; Folio","2025-03-28","A look at how Troa reimagined their portfolio — focusing on performance, sustainability, and a clean, thoughtful design.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/03/31/webgpu-scanning-effect-with-depth-maps/","WebGPU Scanning Effect with Depth Maps","2025-03-31","An exploration of a scanning effect using depth maps, custom shaders, and WebGPU rendering.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/01/warhol-arts-a-digital-playground-of-pop-pixels-and-pure-motion/","Warhol Arts: A Digital Playground of Pop, Pixels, and Pure Motion","2025-04-01","A deep dive into the code, craft, and chaos behind a pop-art-inspired digital experience powered by GSAP and Webflow.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/04/07/case-study-ciel-rose/","Case Study: Ciel Rose","2025-04-07","Explore how storytelling and subtle design come together in a filmmaker duo’s portfolio.","건축·에디토리얼","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/08/3d-world-in-the-browser-with-blender-and-three-js/","Building a Fully-Featured 3D World in the Browser with Blender and Three.js","2025-04-08","Go behind the scenes of an immersive 3D museum built with Blender and Three.js, and explore the creative process, technical decisions, and browser-ready workflow that brought it to life.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/04/11/designer-spotlight-luca-franceschetti/","Designer Spotlight: Luca Franceschetti","2025-04-11","Explore the eclectic and expressive world of Italian digital designer Luca Franceschetti, where playful experimentation meets refined UI design.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/15/nite-riot-minimalism-gets-a-wild-side/","Nite Riot: Minimalism Gets a Wild Side","2025-04-15","When a client like Nite Riot walks through the (digital) door, you don’t play it safe. You go all in.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/16/case-study-24-7-artists/","Turning Music Into Motion: The Making of the 24/7 Artists Launch Page","2025-04-16","A closer look at how Waaark designed and built the launch page for 24/7 Artists’ latest product.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/04/17/developer-spotlight-andrea-biason/","Developer Spotlight: Andrea Biason","2025-04-17","Andrea Biason showcases his journey and four standout projects that push the boundaries of immersive web development.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/18/designer-spotlight-stephanie-bruce/","Designer Spotlight: Stephanie Bruce","2025-04-18","Explore Stephanie Bruce’s approach to visually creative websites as she shares her most exciting work so far, her journey and inspirations.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/21/mastering-carousels-with-gsap-from-basics-to-advanced-animation/","Mastering Carousels with GSAP: From Basics to Advanced Animation","2025-04-21","Learn how to build carousels with GSAP using scroll snapping, utility functions, 3D effects, and draggable interactions.","공간 깊이 / 캐러셀 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/04/22/designing-for-flow-not-frustration-the-transformation-of-arts-corporation/","Designing for Flow, Not Frustration: The Transformation of Arts Corporation Through Refined Animation","2025-04-22","Exploring how refined animations and interactive design reshaped Arts Corporation’s website, enhancing user experience and creative expression.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/04/24/developer-spotlight-max-barvian/","Developer Spotlight: Max Barvian","2025-04-24","Meet Max Barvian in this Developer Spotlight, where his innovative web projects showcase the perfect mix of tech skills and creativity.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/04/25/motion-highlights-4/","Motion Highlights #4","2025-04-25","A handpicked collection of standout motion design from around the web to keep you en pair with current trends.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/02/developer-spotlight-reksa-andhika/","Developer Spotlight: Reksa Andhika","2025-05-02","The journey and works of Reksa Andhika, an independent developer known for crafting websites with unique motion and interactive layouts.","모션 / 건축·에디토리얼","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/07/on-scroll-3d-carousel/","On-Scroll 3D Carousel","2025-05-07","An animation concept where we rotate a carousel in 3D while scrolling.","공간 깊이 / 캐러셀 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/05/12/integrating-rive-into-a-react-project-behind-the-scenes-of-valley-adventures/","Integrating Rive into a React Project: Behind the Scenes of Valley Adventures","2025-05-12","A hands-on guide to integrating Rive into a React project, blending smooth interactivity with whimsical animation for Chumbi Valley’s Adventures.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/12/motion-highlights-6/","Motion Highlights #6","2025-05-12","A freshy curated collection of recent motion design work by creative makers.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/14/from-splittext-to-morphsvg-5-creative-demos-using-free-gsap-plugins/","From SplitText to MorphSVG: 5 Creative Demos Using Free GSAP Plugins","2025-05-14","GSAP’s premium plugins are now free, and this article explores their creative potential through five playful animation demos.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/15/developer-spotlight-andrew-woan/","Developer Spotlight: Andrew Woan","2025-05-15","A beautifully honest, unexpectedly funny reflection on creativity, code, and being human—this is not your average dev story.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2025/05/17/designer-spotlight-ning-huang/","Designer Spotlight: Ning Huang","2025-05-17","A spotlight on Ning Huang, a Taipei-based digital designer who blends no-code tools and AI to craft expressive, motion-rich web experiences.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2025/05/20/behind-the-curtain-building-aurels-grand-theater-from-design-to-code/","Behind the Curtain: Building Aurel’s Grand Theater from Design to Code","2025-05-20","Step inside Aurel’s Grand Theater, an unconventional creative portfolio crafted with Three.js, Vue.js, GSAP, and Blender, bursting with animations and thoughtful details.","공간 깊이 / 모션 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2025/05/20/motion-highlights-7/","Motion Highlights #7","2025-05-20","The latest motion designs and animation concepts to keep you inspired and up-to-date.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
